name,personal_number,no_ktp,passport_id,bod,process
Gina Simatupang,EMP-2025-2086,7639320710066114,BVD475802,2006-10-07,
Joko Nurhaliza,EMP-2025-0998,3338730401045429,TR7559186,2004-01-04,
Tono Setiawan,EMP-2025-1880,3693012804043289,AP5210539,2004-04-28,1
Mira Purnomo,EMP-2025-2019,3431700103847195,DAD175426,1984-03-01,1
Citra Fitriani,EMP-2025-6831,3651501206707602,DHD03686,1970-06-12,1
Vina Gunawan,EMP-2025-0150,3460930812014537,JW3730637,2001-12-08,
Andi Sari,EMP-2025-1118,3436982912876455,JMR13936,1987-12-29,0
Devi Suryanto,EMP-2025-1741,3294210808811582,YMT187399,1981-08-08,1
Sari Rahman,EMP-2025-6133,3305961005677235,YI395124,1967-05-10,0
Indra Purnomo,EMP-2025-9538,3456682501781410,QR0107583,1978-01-25,0
Devi Suryanto,EMP-2025-5841,3574613009055769,UL851514,2005-09-30,
Jihan Rahayu,EMP-2025-6397,6103292810864119,BWZ525636,1986-10-28,0
Galih Sari,EMP-2025-5539,7661340407630529,GIT283790,1963-07-04,
Wati Maharani,EMP-2025-1160,7690982712635667,PPC92005,1963-12-27,1
Hadi Susanto,EMP-2025-3215,3630031210650432,RTO331751,1965-10-12,
Putri Kurniawan,EMP-2025-0950,6146250708917153,GP4785088,1991-08-07,0
Nia Purnomo,EMP-2025-4631,3308172802002959,IP9136609,2000-02-28,
Omar Purnomo,EMP-2025-9035,6129572212876012,WGX65097,1987-12-22,1
Rina Hidayat,EMP-2025-4997,3327182207073778,DS0247908,2007-07-22,
Wati Fitriani,EMP-2025-9991,7339110403664573,MWK236560,1966-03-04,0
Sari Dewi,EMP-2025-3548,7697441405849683,IV879785,1984-05-14,
Lestari Setiawan,EMP-2025-2664,7455741505074262,MZG262972,2007-05-15,0
Wati Purnomo,EMP-2025-9962,7636470412844105,DO884000,1984-12-04,
Prima Kusuma,EMP-2025-1304,7528532601669496,XOY17281,1966-01-26,0
Wati Saputra,EMP-2025-0631,7684070909811876,RW070722,1981-09-09,
Budi Simatupang,EMP-2025-1270,3277311003921789,CCF86042,1992-03-10,
Mira Rahayu,EMP-2025-4818,6143530706947712,EB9068575,1994-06-07,1
Devi Suryanto,EMP-2025-6244,3549752809632459,YY5967518,1963-09-28,1
Bayu Handayani,EMP-2025-3196,7567570104894411,XIU23964,1989-04-01,0
Vina Simatupang,EMP-2025-7933,6172650309675936,LK9296667,1967-09-03,0
Gina Utomo,EMP-2025-9438,3353541402062432,QUX01259,2006-02-14,0
Citra Sari,EMP-2025-2169,7304891710751197,XJK718856,1975-10-17,
Lina Wulandari,EMP-2025-4740,6158530103017139,STS105643,2001-03-01,
Nia Maharani,EMP-2025-4872,7636990507693806,IOX23790,1969-07-05,
Rina Utomo,EMP-2025-5691,3674790701891630,EHM829979,1989-01-07,0
Indra Utomo,EMP-2025-9805,3571661812750449,YO0802957,1975-12-18,1
Vina Hidayat,EMP-2025-7083,3615923007717282,GWZ987201,1971-07-30,1
Putri Utomo,EMP-2025-7101,7587102101890629,YU158696,1989-01-21,
Ahmad Maharani,EMP-2025-7703,7329871505784347,ME218987,1978-05-15,0
Sari Hermawan,EMP-2025-0636,7472791107792919,RPQ646132,1979-07-11,1
Uci Hermawan,EMP-2025-7881,7481510811928904,CCW44241,1992-11-08,0
Andi Lestari,EMP-2025-8015,6190512104727926,RAG870723,1972-04-21,1
Omar Suryanto,EMP-2025-7955,7352341909654397,IV428571,1965-09-19,1
Kiki Kurniawan,EMP-2025-6213,3478700808620346,UI756531,1962-08-08,
Kiki Nurhaliza,EMP-2025-6126,7392300611862645,KOG009134,1986-11-06,1
Bayu Santoso,EMP-2025-4464,3230810101830554,VJ172007,1983-01-01,0
Lestari Purnomo,EMP-2025-6409,7578202205699637,VW473409,1969-05-22,1
Dian Rahman,EMP-2025-9192,3655120210806658,MXN397977,1980-10-02,
Omar Kurniawan,EMP-2025-6060,3251992108817326,OQI018421,1981-08-21,1
Galih Saputra,EMP-2025-8085,7593730109810966,KTV354067,1981-09-01,1
Citra Susanto,EMP-2025-7914,6184310809897560,XL3717149,1989-09-08,1
Lestari Pertiwi,EMP-2025-8964,7422811007042292,KHL78238,2004-07-10,0
Ahmad Nurhaliza,EMP-2025-8510,3438672702796083,MFI174314,1979-02-27,
Candra Anggraini,EMP-2025-7514,3526892703698811,CQP352692,1969-03-27,
Mira Suryanto,EMP-2025-9194,3648802912964174,CD2217573,1996-12-29,1
Candra Hermawan,EMP-2025-0044,7686610508792755,ZC1400918,1979-08-05,1
Kiki Budiman,EMP-2025-9178,6139650405713945,JKM83062,1971-05-04,
Wati Saputri,EMP-2025-7236,3692191601009184,SGD61887,2000-01-16,1
Ahmad Suryanto,EMP-2025-6131,3579721312776267,YZ4503032,1977-12-13,1
Jihan Lestari,EMP-2025-0720,3283360710036526,HBO899644,2003-10-07,0
Budi Simatupang,EMP-2025-2157,3248042307742899,KV4738286,1974-07-23,
Maya Rahayu,EMP-2025-0233,6191220309938460,KRB857042,1993-09-03,
Mira Pertiwi,EMP-2025-4486,7323820702615099,DMV541071,1961-02-07,0
Bayu Rahman,EMP-2025-1332,3402280106947543,IR7733225,1994-06-01,0
Joko Saputra,EMP-2025-7203,3626231104874250,CJJ86195,1987-04-11,
Hadi Wulandari,EMP-2025-3399,3590560912914730,SNV07240,1991-12-09,
Vina Simatupang,EMP-2025-5292,3461182509029615,ORX76804,2002-09-25,
Nita Simatupang,EMP-2025-7649,3324461704882667,TL567427,1988-04-17,1
Lestari Nugroho,EMP-2025-1768,7339060111818307,LHP113565,1981-11-01,0
Candra Sari,EMP-2025-5068,3485432208651482,UL4621318,1965-08-22,
Gina Setiawan,EMP-2025-7821,3520882305940082,IM696877,1994-05-23,0
Omar Suryanto,EMP-2025-4640,6198180909965360,PNJ267338,1996-09-09,1
Qori Budiman,EMP-2025-3080,3383301503738192,FL311364,1973-03-15,1
Galih Pertiwi,EMP-2025-7618,3421512503071744,JT803534,2007-03-25,
Hadi Lestari,EMP-2025-6963,7355991509654964,TDU57789,1965-09-15,0
Hadi Dewi,EMP-2025-2464,7369982103951311,IY187402,1995-03-21,1
Nita Wijaya,EMP-2025-6975,7447071212934135,RTA13036,1993-12-12,1
Indra Anggraini,EMP-2025-2872,3269951205964074,ND6429628,1996-05-12,1
Fitri Kurniawan,EMP-2025-2405,3210420504940628,JZ3634177,1994-04-05,1
Citra Suryanto,EMP-2025-8423,3325742403844968,SB292615,1984-03-24,1
Oki Sari,EMP-2025-6672,3487371204850083,AK2476027,1985-04-12,
Nia Saputra,EMP-2025-6894,3694922102029633,OMO33447,2002-02-21,
Erna Santoso,EMP-2025-0529,3487500310836602,QO075374,1983-10-03,0
Hadi Wijaya,EMP-2025-7071,7675221205929256,ZAZ93539,1992-05-12,1
Prima Simatupang,EMP-2025-2607,3528151010862927,OJF33189,1986-10-10,
Gina Setiawan,EMP-2025-8108,7569510401816619,HYE408766,1981-01-04,
Fitri Budiman,EMP-2025-3674,7354530510770476,PN5793254,1977-10-05,1
Eko Susanto,EMP-2025-8378,3296772909959045,WE724711,1995-09-29,0
Eko Santoso,EMP-2025-9884,3574600401024015,ZUZ888927,2002-01-04,
Devi Nurhaliza,EMP-2025-7704,3288870904978516,BKG769748,1997-04-09,1
Vina Pertiwi,EMP-2025-7022,3247521609067210,CW7361242,2006-09-16,
Oki Susanto,EMP-2025-4260,3359913011044010,HLU55712,2004-11-30,1
Tono Utomo,EMP-2025-2594,7647921012865025,MLH123602,1986-12-10,
Indra Purnomo,EMP-2025-6650,3234471106068468,QEI555396,2006-06-11,0
Indra Susanto,EMP-2025-3684,7449021608665610,FDP634998,1966-08-16,0
Putri Rahman,EMP-2025-1620,3547860610636529,NHZ905227,1963-10-06,
Gina Saputra,EMP-2025-4547,7423062808849044,TT9132274,1984-08-28,0
Dian Nugroho,EMP-2025-1908,6182100906787837,CFO520497,1978-06-09,
Rina Hermawan,EMP-2025-4125,3576823009010009,PME59282,2001-09-30,
Dian Simatupang,EMP-2025-2985,7540811704001827,AXN10439,2000-04-17,
Andi Lestari,EMP-2025-3494,7524252707703798,NIN692631,1970-07-27,0
Tono Simatupang,EMP-2025-8462,3479852911745336,QUU22983,1974-11-29,
Maya Wati,EMP-2025-6969,6196412802015047,TAY938970,2001-02-28,
Mira Purnomo,EMP-2025-7005,3638480912625274,IOF642017,1962-12-09,0
Bayu Kurniawan,EMP-2025-4590,7389910507044094,BBI42480,2004-07-05,0
Uci Budiman,EMP-2025-1442,3476390410789206,GOT58617,1978-10-04,1
Galih Lestari,EMP-2025-7674,7496280205775264,LI270143,1977-05-02,0
Lestari Sari,EMP-2025-9269,7508662804940266,ZYW74567,1994-04-28,
Vina Sari,EMP-2025-9404,3369211911061438,PZT84891,2006-11-19,0
Maya Nugroho,EMP-2025-6578,7644591008990352,AVA318575,1999-08-10,
Tono Kusuma,EMP-2025-2430,6192740407743095,IC7593322,1974-07-04,1
Zaki Anggraini,EMP-2025-7204,3630281009920448,VJ882041,1992-09-10,0
Qori Wulandari,EMP-2025-2669,3323652502071994,DM731973,2007-02-25,0
Fajar Santoso,EMP-2025-6559,7403012811946882,JY4839063,1994-11-28,1
Bayu Kurniawan,EMP-2025-9251,6106192602832906,DE708863,1983-02-26,0
Budi Lestari,EMP-2025-2976,7323230505072481,WCE24386,2007-05-05,0
Bayu Dewi,EMP-2025-6680,6104612011632365,OT1080914,1963-11-20,
Lestari Wati,EMP-2025-7803,7418781711605103,XGI96048,1960-11-17,0
Indra Anggraini,EMP-2025-1347,3566171008733696,SH2273745,1973-08-10,1
Ahmad Anggraini,EMP-2025-9493,3442550906942380,TU7906823,1994-06-09,1
Vina Lestari,EMP-2025-3520,7445251703977408,QOD65391,1997-03-17,1
Wati Nurhaliza,EMP-2025-8505,7559852206695610,BJQ098171,1969-06-22,1
Jihan Handayani,EMP-2025-6514,7371110402062992,DR1757550,2006-02-04,
Andi Nurhaliza,EMP-2025-2601,3589681110756136,RQ8719682,1975-10-11,1
Ika Utomo,EMP-2025-2231,7554612010025275,AGO27507,2002-10-20,1
Joko Wati,EMP-2025-6866,3498320112952613,PGJ928179,1995-12-01,1
Vina Susanto,EMP-2025-1922,3487361203900177,NUP621740,1990-03-12,1
Yani Rahman,EMP-2025-6979,3249330912707644,WR721965,1970-12-09,
Galih Rahman,EMP-2025-1724,7490562408980929,VTX48901,1998-08-24,
Gina Wijaya,EMP-2025-1704,7429762409994355,OVJ01860,1999-09-24,0
Lestari Kusuma,EMP-2025-0654,6175872908986452,QLL986760,1998-08-29,0
Kiki Wati,EMP-2025-7482,6113381610970465,JRJ273667,1997-10-16,
Prima Kusuma,EMP-2025-2819,7583422610965711,WIQ339046,1996-10-26,1
Sari Nugroho,EMP-2025-5522,3534911305045745,XTY01356,2004-05-13,
Sari Suryanto,EMP-2025-1530,7523511808673255,SX813313,1967-08-18,
Joko Santoso,EMP-2025-4029,3342290807000669,RH262848,2000-07-08,1
Qori Maharani,EMP-2025-6792,3503790303047192,KW689779,2004-03-03,1
Nita Rahman,EMP-2025-2204,6131410611921263,WZG099751,1992-11-06,
Fajar Dewi,EMP-2025-4410,6192902711807624,LL090468,1980-11-27,
Tono Saputra,EMP-2025-4524,3409881108921072,YSS47136,1992-08-11,
Kiki Saputri,EMP-2025-2364,3643302105066671,WZB57004,2006-05-21,0
Ika Dewi,EMP-2025-0484,3577982611762970,SIC59346,1976-11-26,1
Nita Pratama,EMP-2025-7052,3413400409922907,MEK360402,1992-09-04,
Jihan Wati,EMP-2025-0029,3288482005692761,AK8530164,1969-05-20,1
Hadi Lestari,EMP-2025-2899,3388202005949405,SWE846987,1994-05-20,1
Hadi Hermawan,EMP-2025-8495,3614453112769669,XM9999534,1976-12-31,
Indra Sari,EMP-2025-3924,3344321608932317,EKJ89780,1993-08-16,
Fajar Suryanto,EMP-2025-8952,6168731408076459,HD2643443,2007-08-14,1
Devi Kurniawan,EMP-2025-8644,3664993107860904,EC6750319,1986-07-31,
Zaki Wati,EMP-2025-6076,7395662310768336,XC8702260,1976-10-23,
Prima Nurhaliza,EMP-2025-2901,3338012005825420,VJV156296,1982-05-20,0
Ika Hermawan,EMP-2025-6778,3653892509616814,HXV20607,1961-09-25,
Lestari Hidayat,EMP-2025-2604,3510822901711889,BNE97622,1971-01-29,0
Eko Rahman,EMP-2025-8159,3351262907689090,DZ410306,1968-07-29,1
Lina Handayani,EMP-2025-9782,7648571508737243,RN7700182,1973-08-15,1
Indra Nurhaliza,EMP-2025-2509,3583080312956227,NFQ64802,1995-12-03,
Devi Kurniawan,EMP-2025-1825,3419712104890930,KN7309600,1989-04-21,1
Galih Suryanto,EMP-2025-8939,7616292212639235,AV962647,1963-12-22,1
Joko Pratama,EMP-2025-7442,6182592010032510,FHT98308,2003-10-20,1
Andi Utomo,EMP-2025-2049,7391700603816591,FKW74333,1981-03-06,
Joko Purnomo,EMP-2025-9313,7527321204803129,YS957462,1980-04-12,0
Lina Hidayat,EMP-2025-0834,7584580410876753,FO6949025,1987-10-04,
Gina Lestari,EMP-2025-3241,7699201311969422,KM7467560,1996-11-13,0
Vina Rahayu,EMP-2025-1474,3303021907655432,YJT306394,1965-07-19,0
Joko Fitriani,EMP-2025-2675,3639132502752491,DXK62821,1975-02-25,1
Lestari Handayani,EMP-2025-7747,3397062412726242,MTP95189,1972-12-24,1
Galih Santoso,EMP-2025-4917,3348091809762211,XCY937906,1976-09-18,
Candra Simatupang,EMP-2025-3147,7654223107934141,ZXA90234,1993-07-31,0
Zaki Simatupang,EMP-2025-5455,3696982911011315,DZ7039306,2001-11-29,1
Hadi Santoso,EMP-2025-5673,7555530507912169,OMG90635,1991-07-05,0
Prima Budiman,EMP-2025-1065,3332101409766118,OG8008861,1976-09-14,1
Uci Pertiwi,EMP-2025-2273,6186140410710921,XY0907200,1971-10-04,
Lestari Wati,EMP-2025-3049,3561260204059920,HRW450928,2005-04-02,
Putri Wulandari,EMP-2025-3065,3390981308673084,TFK65248,1967-08-13,0
Fitri Simatupang,EMP-2025-1010,3637971404751060,MX6807707,1975-04-14,
Kiki Pratama,EMP-2025-4300,6190882209669326,LTM34572,1966-09-22,
Prima Utomo,EMP-2025-6607,6153602603025315,WMD40139,2002-03-26,1
Kurnia Hidayat,EMP-2025-9715,6102562504762475,FA130339,1976-04-25,0
Galih Lestari,EMP-2025-7129,3563780508057092,MR903422,2005-08-05,0
Fajar Sari,EMP-2025-5548,7363021206882599,RLD533615,1988-06-12,0
Uci Lestari,EMP-2025-5345,7448542311823432,XX755311,1982-11-23,
Rina Sari,EMP-2025-8006,7630912901824082,XIW76046,1982-01-29,1
Nita Susanto,EMP-2025-5961,7325990508852345,MF3841239,1985-08-05,
Bayu Sari,EMP-2025-0993,3583251308714844,NN7480210,1971-08-13,1
Budi Wijaya,EMP-2025-2572,7419580202959098,TCH16253,1995-02-02,0
Lestari Pratama,EMP-2025-5166,6171622611932323,OQQ16763,1993-11-26,
Galih Setiawan,EMP-2025-1047,3293922408728138,DC9279347,1972-08-24,
Oki Purnomo,EMP-2025-8981,3268540405962540,VL7820606,1996-05-04,0
Maya Anggraini,EMP-2025-2256,3229980809812501,ITR520740,1981-09-08,0
Zaki Kusuma,EMP-2025-5725,3530752711040118,PJ3106623,2004-11-27,0
Nia Wati,EMP-2025-4266,7633431905785359,DHA21319,1978-05-19,
Nia Purnomo,EMP-2025-4971,3689871701809720,MQF20088,1980-01-17,
Budi Suryanto,EMP-2025-9861,7393422211016403,XM769010,2001-11-22,0
Hadi Nurhaliza,EMP-2025-6250,3236011501887292,CJ9732620,1988-01-15,0
Joko Wati,EMP-2025-7808,3659271108710498,AC4862050,1971-08-11,0
Rina Santoso,EMP-2025-8150,7387490107630609,VKZ698772,1963-07-01,
Yani Saputri,EMP-2025-0723,3625310201010032,OSU203853,2001-01-02,
Nita Hidayat,EMP-2025-2851,7519420512916669,JZT874534,1991-12-05,0
Nia Kurniawan,EMP-2025-8835,6146830309027386,XI5581718,2002-09-03,
Hadi Simatupang,EMP-2025-8913,7311540811708215,NO961273,1970-11-08,
Hana Lestari,EMP-2025-3590,6171513009076436,TRZ648810,2007-09-30,0
Qori Gunawan,EMP-2025-6654,7419102604883963,VOC001170,1988-04-26,0
Wati Santoso,EMP-2025-9791,7346852012960174,IJH65694,1996-12-20,1
Fitri Rahman,EMP-2025-9620,7450971008696926,YRZ04945,1969-08-10,
Budi Fitriani,EMP-2025-9890,3359493101913955,AIU24018,1991-01-31,
Kiki Pratama,EMP-2025-4502,7409652701777589,UNS56492,1977-01-27,1
Vina Dewi,EMP-2025-1259,7643552708702537,MG789701,1970-08-27,
Gina Maharani,EMP-2025-1664,7664301509001903,DT4360566,2000-09-15,1
Fitri Anggraini,EMP-2025-1068,3236561209981097,GY452910,1998-09-12,0
Andi Santoso,EMP-2025-4310,3558852204949132,BUE10237,1994-04-22,1
Gina Kusuma,EMP-2025-4357,3266020612708595,HV988144,1970-12-06,1
Devi Nugroho,EMP-2025-2081,7582810603672394,WB5278322,1967-03-06,1
Putri Suryanto,EMP-2025-6123,3242511904633156,LVF495486,1963-04-19,
Jihan Suryanto,EMP-2025-9828,3664992007677091,KO7022693,1967-07-20,1
Sari Suryanto,EMP-2025-9660,3661662907046326,MC956069,2004-07-29,
Ika Lestari,EMP-2025-3134,3541421804829274,ZEI25616,1982-04-18,
Lina Susanto,EMP-2025-9059,3625883103938893,FMN786278,1993-03-31,
Qori Fitriani,EMP-2025-4436,7448321312957936,NDP13530,1995-12-13,1
Yani Nugroho,EMP-2025-9298,7471750309858375,FBL54311,1985-09-03,0
Omar Saputri,EMP-2025-8770,3209361606708987,DCT28503,1970-06-16,1
Omar Santoso,EMP-2025-9891,3656312906813612,YJG532882,1981-06-29,0
Mira Dewi,EMP-2025-2041,3374950501857967,GK4112123,1985-01-05,
Galih Maharani,EMP-2025-1344,7358282408811645,SLT87072,1981-08-24,
Sari Susanto,EMP-2025-6356,6142030208058316,PJS14232,2005-08-02,0
Candra Hidayat,EMP-2025-3999,7377612912629230,LU530444,1962-12-29,1
Kurnia Pratama,EMP-2025-2591,3535471702847841,FP8937090,1984-02-17,1
Lina Nurhaliza,EMP-2025-4804,3368331906012442,WH2352006,2001-06-19,
Ahmad Simatupang,EMP-2025-3202,7455220401820282,BC5753151,1982-01-04,0
Hadi Rahayu,EMP-2025-0932,3666030210058266,DBE263744,2005-10-02,0
Indra Handayani,EMP-2025-6184,3482781008641099,AL635459,1964-08-10,
Zaki Nurhaliza,EMP-2025-8577,7692960203974120,EWD253264,1997-03-02,1
Galih Setiawan,EMP-2025-3532,3241632308780263,UTL632024,1978-08-23,1
Wati Kurniawan,EMP-2025-6813,7448271905022137,GD2043645,2002-05-19,
Budi Gunawan,EMP-2025-5776,7562063010031111,FXE172025,2003-10-30,1
Lestari Wulandari,EMP-2025-4669,6179591012915351,BND74565,1991-12-10,0
Maya Maharani,EMP-2025-2359,3449431104004377,TF220014,2000-04-11,0
Erna Lestari,EMP-2025-0010,7371731509833451,EA729161,1983-09-15,1
Rina Simatupang,EMP-2025-9455,7694481911024229,QIE87284,2002-11-19,
Jihan Wulandari,EMP-2025-9695,3664931402970841,UGV829410,1997-02-14,1
Budi Simatupang,EMP-2025-5427,7396520706989283,CEM790444,1998-06-07,1
Gina Sari,EMP-2025-6494,3340311806048059,KW283558,2004-06-18,0
Fitri Pratama,EMP-2025-1513,3220700604998072,ZA0286966,1999-04-06,0
Eko Kurniawan,EMP-2025-1350,3643132304649550,PV7884228,1964-04-23,
Hana Nurhaliza,EMP-2025-2579,3618091704029932,MF086683,2002-04-17,1
Vina Rahayu,EMP-2025-3450,7354312507885352,LS0511410,1988-07-25,1
Eko Pratama,EMP-2025-6716,7631920801047133,YR924011,2004-01-08,0
Kiki Budiman,EMP-2025-6513,3650241606057595,LVT69781,2005-06-16,1
Omar Handayani,EMP-2025-0689,7312633010902428,GP974767,1990-10-30,1
Citra Gunawan,EMP-2025-3459,3214620810053305,IR589664,2005-10-08,
Uci Kurniawan,EMP-2025-4662,7671380610010730,APZ489962,2001-10-06,
Rina Saputra,EMP-2025-3760,3558340310870635,KAF943498,1987-10-03,
Lina Saputra,EMP-2025-0839,7303651404889835,ZFR78937,1988-04-14,
Kiki Handayani,EMP-2025-5387,3502880705991306,YA9712214,1999-05-07,0
Hana Nugroho,EMP-2025-2549,3640702012661249,WA0772173,1966-12-20,
Fitri Sari,EMP-2025-1365,7466162812034560,UJK520987,2003-12-28,0
Andi Wati,EMP-2025-3182,3444212708078763,ZTJ87487,2007-08-27,0
Maya Santoso,EMP-2025-1097,3580820803049607,VY543380,2004-03-08,
Kurnia Saputri,EMP-2025-6809,6103862803945550,ZW1057545,1994-03-28,1
Rina Simatupang,EMP-2025-5113,3380050504894032,HWB69689,1989-04-05,1
Gina Hidayat,EMP-2025-5053,3368472207678164,KAH789683,1967-07-22,1
Andi Nugroho,EMP-2025-1292,6116241111799540,BI8556252,1979-11-11,0
Kurnia Susanto,EMP-2025-0853,3654121809904409,BY1443525,1990-09-18,0
