name,personal_number,no_ktp,passport_id,bod,process
Andi Wulandari,EMP-2025-4671,7514920602072043,TH8098894,2007-02-06,1
Dian Suryanto,EMP-2025-0462,3550111406943679,YVQ128617,1994-06-14,0
Jihan Santoso,EMP-2025-8992,3303332902802450,CHH266084,1980-02-29,
Hana Saputra,EMP-2025-7033,7574311109734773,PG165395,1973-09-11,0
Lina Kurniawan,EMP-2025-4156,7361061107956117,JB7677305,1995-07-11,
Maya Nurhaliza,EMP-2025-1034,7490620203772210,AFU333840,1977-03-02,1
Rina Lestari,EMP-2025-6030,3284432904852040,XTX31637,1985-04-29,0
Wati Suryanto,EMP-2025-4814,7311560201778938,CIH64630,1977-01-02,1
Nita Utomo,EMP-2025-5953,3682081907676656,YD007335,1967-07-19,
Qori Nugroho,EMP-2025-9404,7448482308001260,NK217435,2000-08-23,1
Eko Saputra,EMP-2025-3280,7428790806868048,DB8406833,1986-06-08,
Fitri Sari,EMP-2025-8336,3639210706765923,DF2435491,1976-06-07,1
Lina Nugroho,EMP-2025-6731,7392930410038613,VBZ463876,2003-10-04,0
Kurnia Hidayat,EMP-2025-2508,7365081512718489,EIS95201,1971-12-15,0
Lestari Hidayat,EMP-2025-2763,3679691303698235,EQ858006,1969-03-13,
Nia Simatupang,EMP-2025-8160,3599741003980497,QHG20044,1998-03-10,
Omar Maharani,EMP-2025-6533,3441921806895659,TN3422023,1989-06-18,0
Wati Pratama,EMP-2025-2611,3442741411883111,ZMW09592,1988-11-14,0
Kurnia Nurhaliza,EMP-2025-8794,3664771301034682,WL773451,2003-01-13,0
Citra Utomo,EMP-2025-2109,7365582811851947,KU531640,1985-11-28,
Lestari Nurhaliza,EMP-2025-9933,6161672410012441,IP3685554,2001-10-24,1
Devi Anggraini,EMP-2025-9564,3248432508706825,USR526952,1970-08-25,1
Devi Rahayu,EMP-2025-3969,3468810412942422,OS0316479,1994-12-04,0
Qori Suryanto,EMP-2025-8610,7527722312897838,IEX56868,1989-12-23,1
Jihan Setiawan,EMP-2025-4877,3532360608873685,SRM39721,1987-08-06,1
Mira Rahman,EMP-2025-1295,6199191511860690,YRT259616,1986-11-15,0
Fajar Purnomo,EMP-2025-0861,3286682201813815,KS6199168,1981-01-22,
Galih Kusuma,EMP-2025-0970,3597371808894677,QG9181993,1989-08-18,
Maya Lestari,EMP-2025-9876,3605020208879306,YI954984,1987-08-02,0
Lina Utomo,EMP-2025-3051,6121942612014216,TU1888506,2001-12-26,1
Hana Fitriani,EMP-2025-3859,6132011803846285,TYH232641,1984-03-18,
Nia Nugroho,EMP-2025-3619,3689161404876022,YM764545,1987-04-14,0
Fitri Susanto,EMP-2025-5928,7611682311008654,XC5135125,2000-11-23,
Citra Maharani,EMP-2025-6807,7408592608728410,OOR73875,1972-08-26,1
Fitri Hermawan,EMP-2025-0520,3370080301677735,KTT38493,1967-01-03,
Oki Rahman,EMP-2025-2925,7518840601921944,NSF794743,1992-01-06,1
Citra Setiawan,EMP-2025-0528,6120362209771849,PYX210570,1977-09-22,1
Rina Pratama,EMP-2025-8256,3570281711652296,GXO28954,1965-11-17,
Fajar Rahman,EMP-2025-8121,7695232102999108,ZY734137,1999-02-21,0
Maya Pratama,EMP-2025-9215,3691191005020945,ZOD230435,2002-05-10,1
Fajar Fitriani,EMP-2025-3083,7387781205641193,MW392177,1964-05-12,0
Fajar Nugroho,EMP-2025-9046,7691272505963922,UJN33848,1996-05-25,1
Vina Hidayat,EMP-2025-9217,3548411312970750,TA212525,1997-12-13,1
Ika Kurniawan,EMP-2025-2294,7459223005922774,EXZ580800,1992-05-30,
Rina Saputra,EMP-2025-3584,3509911305740150,JQR60540,1974-05-13,1
Oki Nurhaliza,EMP-2025-1754,3265901206992938,NG823345,1999-06-12,
Indra Fitriani,EMP-2025-6641,3384842908631532,JMQ086399,1963-08-29,0
Eko Nurhaliza,EMP-2025-0763,3528892306034442,RH1802188,2003-06-23,0
Omar Budiman,EMP-2025-5436,7631732309958857,TDZ590483,1995-09-23,
Eko Sari,EMP-2025-8039,7342040305857382,JY153722,1985-05-03,1
Hana Maharani,EMP-2025-5189,3449922808746384,CAI71045,1974-08-28,0
Kiki Utomo,EMP-2025-9799,3212460103699781,WAK759256,1969-03-01,1
Gina Utomo,EMP-2025-2740,3635642711731037,HHU22651,1973-11-27,1
Uci Nurhaliza,EMP-2025-7213,3251432411945400,LVQ366413,1994-11-24,
Sari Kurniawan,EMP-2025-4593,7474321901906162,JYF659474,1990-01-19,
Bayu Saputra,EMP-2025-4962,3353871108052281,GE709445,2005-08-11,0
Oki Wulandari,EMP-2025-4068,6190690906681792,EPO93710,1968-06-09,
Joko Handayani,EMP-2025-6130,7572752308807304,MRR301491,1980-08-23,1
Kiki Fitriani,EMP-2025-5707,6159272607077913,CSL381866,2007-07-26,
Candra Setiawan,EMP-2025-9173,3567230803755423,YGK163784,1975-03-08,0
Wati Handayani,EMP-2025-1668,3527360606669460,JF2856565,1966-06-06,1
Prima Saputra,EMP-2025-1389,7623870207879670,IG1654131,1987-07-02,
Bayu Hermawan,EMP-2025-2299,3472222809044733,IL8941356,2004-09-28,1
Hadi Anggraini,EMP-2025-1355,7391572808042741,UF2514775,2004-08-28,0
Putri Wati,EMP-2025-8952,3670471907647232,ZC2943849,1964-07-19,
Hana Susanto,EMP-2025-2282,7689452503992720,VU551925,1999-03-25,
Bayu Setiawan,EMP-2025-4544,3318972809970972,SD7876452,1997-09-28,1
Erna Pertiwi,EMP-2025-8448,3382990203696601,SWL30777,1969-03-02,
Devi Pratama,EMP-2025-7040,6109693006963569,MI355436,1996-06-30,0
Kiki Pratama,EMP-2025-7480,7403162712747231,ZL8388030,1974-12-27,1
Ika Purnomo,EMP-2025-1495,3693902710817033,AM5540318,1981-10-27,0
Wati Saputri,EMP-2025-5134,3550120201701691,WDU660561,1970-01-02,0
